,number_of_clicks,relative_valuation
173,173,-0.47561390967744793
174,174,-0.4208752202820555
175,175,-0.5326766448762912
176,176,-0.5072482625272782
177,177,-0.539042767140258
178,178,-0.3500093580375307
179,179,-0.47682700019627794
180,180,-0.497564750098118
181,181,-0.5112978470324908
182,182,-0.6224482626875355
183,183,-0.5687271159760452
184,184,-0.4932050839596992
185,185,-0.31024331966035046
186,186,-0.4228708680175708
187,187,-0.5035832522864442
188,188,-0.5751945980699786
189,189,-0.468720197719008
190,190,-0.43319365986817226
191,191,-0.4748004438804363
192,192,-0.4897957731548882
193,193,-0.4680813850877689
194,194,-0.4419506441976195
195,195,-0.5618240337129059
196,196,-0.4743736565667873
197,197,-0.5056759282357414
198,198,-0.5110685614505845
199,199,-0.5245247121749389
200,200,-0.4884836122100316
201,201,-0.5608461137366607
202,202,-0.6095239636723805
203,203,-0.5448681393584501
204,204,-0.14035455187311205
205,205,-0.5086924514089894
206,206,-0.5339874239927571
207,207,-0.5814692703212131
208,208,-0.24045810985026106
209,209,-0.4538545531602816
210,210,-0.3507636729935213
211,211,-0.6204135200390872
212,212,-0.3690909627117298
213,213,-0.6127191104710019
214,214,-0.5802166890529175
215,215,-0.5257961425407752
216,216,-0.5519424249911778
217,217,-0.5123719631650596
218,218,-0.31677978172386234
219,219,-0.5770432387222048
220,220,-0.44923225794352456
221,221,-0.3841838398549813
222,222,-0.5299505638554054
223,223,-0.16668116562058016
224,224,-0.4412000881555693
225,225,-0.44693292717520083
226,226,-0.38179576654754155
227,227,-0.5195186489237268
228,228,-0.5296392000221422
229,229,-0.4981586399482507
230,230,-0.4645213248977617
231,231,-0.33259856292414736
232,232,-0.12615639104339568
233,233,-0.49549761916789914
234,234,-0.5216442322122276
235,235,-0.4960748557015565
236,236,-0.49761420031712505
237,237,-0.6056668449472699
238,238,-0.43359714155707685
239,239,-0.4811722605986066
240,240,-0.4636583284838733
241,241,-0.5403095595564346
242,242,-0.48381126717060324
243,243,-0.577008593599731
244,244,-0.7080513744608835
245,245,-0.5013371334611137
246,246,-0.5298511329418462
247,247,-0.5630065263932986
248,248,-0.576014845850067
249,249,-0.5737193490154857
250,250,-0.5094454452943171
251,251,-0.31660531161432554
252,252,-0.5997799479995989
253,253,-0.5535192816292827
254,254,-0.5586601746883558
255,255,-0.526891265435324
256,256,-0.35091133248400425
257,257,-0.7441351649964749
258,258,-0.7425018375588689
259,259,-0.6656199077395104
260,260,-0.5500157966378033
261,261,-0.47471251796277525
262,262,-0.832383299579698
263,263,-0.5124086420722931
264,264,-0.5916266996676237
265,265,-0.6731419691235765
266,266,-0.5367340087572232
267,267,-0.6705706646921448
268,268,-0.6476250224880696
269,269,-0.49604050627487206
270,270,-0.41978436455259815
271,271,-0.47661332348714364
272,272,-0.4680199265821334
273,273,-0.5781011811308744
274,274,-0.5600134491956258
275,275,-0.6482467886979713
276,276,-0.49959617854200095
277,277,-0.7003187422163955
278,278,-0.4715294234604265
279,279,-0.3656697016795216
280,280,-0.4682314699453107
281,281,-0.4706312529672979
282,282,-0.4357799574895244
283,283,-0.432991963718038
284,284,-0.4486872610650954
285,285,-0.6348725909467187
286,286,-0.4511598037065264
287,287,-0.09140764086370924
288,288,-0.5294770954061401
289,289,-0.5217283031874402
290,290,-0.4899054274964191
291,291,-0.396221321493943
292,292,-0.6194374800904758
293,293,-0.4600390004797494
294,294,-0.6145169136281285
295,295,-0.6216098837427301
296,296,-0.2819895757331918
297,297,-0.48043319463782785
298,298,-0.49055543826500764
299,299,-0.5260109609710077
300,300,-0.5048193223688537
301,301,-0.7634078948337456
302,302,-0.5172485055774085
303,303,-0.24058202192116862
304,304,-0.5910066436099222
305,305,-0.6208889053561498
306,306,-0.41619520218928285
307,307,-0.6828909032787875
308,308,-0.37673178813984187
309,309,-0.38260982966200363
310,310,-0.5426785029127756
311,311,-0.5833897842922041
312,312,-0.05663732815145259
313,313,-0.6053963708011686
314,314,-0.5064425984631099
315,315,-0.48559368176210604
316,316,-0.41894231993817355
317,317,-0.5547435699599887
318,318,-0.34616504187738956
319,319,-0.41310166099314566
320,320,-0.41502564471548525
321,321,-0.47776949624203346
322,322,-0.5797231715018232
323,323,-0.5106452197914638
324,324,-0.3950987705703348
325,325,-0.40648698994012794
326,326,-0.36760793588095814
327,327,-0.3948266819175267
328,328,-0.42475752969756747
329,329,-0.3729957240041649
330,330,-0.1189982715075728
331,331,-0.0586227256821152
332,332,-0.36678591868348315
333,333,-0.6181642416006694
334,334,-0.5149820111541761
335,335,-0.365427454332124
336,336,-0.5969404862898027
337,337,-0.457272086074923
338,338,-0.34345545912840003
339,339,-0.3709720385254467
340,340,-0.37624067078144396
341,341,-0.5677138506434264
342,342,-0.5671387185531104
343,343,-0.5921787751027162
344,344,-0.6043800013675406
345,345,-0.40856876900684863
346,346,-0.6056409454836378
347,347,-0.5716804607700617
348,348,-0.6591383041550157
349,349,-0.5689696194240841
350,350,-0.538828927232185
351,351,-0.7631262719538855
352,352,-0.6429085315265677
353,353,-0.6646726812463281
354,354,-0.7370232586811325
355,355,-0.6088565374187785
356,356,-0.6781881108070591
357,357,-0.6530690951879174
358,358,-0.4250428994280798
359,359,-0.6134494162348318
360,360,-0.6416251332588389
361,361,-0.7326079604766654
362,362,-0.6401366911269332
363,363,-0.710467089443697
364,364,-0.5443803425701075
365,365,-0.5139519284342544
366,366,-0.6296250816532256
367,367,-0.5435593910756987
368,368,-0.5955307594535401
369,369,-0.7041705897729902
370,370,-0.6763081307099854
371,371,-0.38824722903182274
372,372,-0.6239187585597796
